iter	Passed	Remaining
599	2505	1670
600	2508	1665
601	2512	1661
602	2516	1656
603	2519	1652
604	2523	1647
605	2528	1643
606	2531	1639
607	2535	1634
608	2539	1630
609	2543	1626
610	2547	1622
611	2551	1617
612	2555	1613
613	2559	1608
614	2563	1604
615	2567	1600
616	2570	1595
617	2574	1591
618	2578	1587
619	2582	1582
620	2586	1578
621	2589	1573
622	2594	1569
623	2597	1565
624	2601	1561
625	2605	1556
626	2609	1552
627	2613	1548
628	2617	1543
629	2621	1539
630	2626	1535
631	2630	1531
632	2633	1527
633	2637	1522
634	2642	1518
635	2647	1515
636	2650	1510
637	2654	1506
638	2659	1502
639	2663	1498
640	2667	1494
641	2671	1489
642	2675	1485
643	2679	1481
644	2682	1476
645	2686	1472
646	2690	1468
647	2694	1463
648	2697	1459
649	2701	1454
650	2705	1450
651	2709	1446
652	2713	1441
653	2716	1437
654	2720	1432
655	2724	1428
656	2728	1424
657	2731	1419
658	2735	1415
659	2739	1411
660	2743	1407
661	2747	1402
662	2750	1398
663	2754	1394
664	2759	1389
665	2762	1385
666	2766	1380
667	2769	1376
668	2774	1372
669	2777	1368
670	2781	1363
671	2784	1359
672	2788	1354
673	2792	1350
674	2795	1346
675	2799	1341
676	2803	1337
677	2807	1333
678	2810	1328
679	2814	1324
680	2817	1319
681	2822	1315
682	2825	1311
683	2828	1306
684	2832	1302
685	2836	1298
686	2841	1294
687	2845	1290
688	2849	1286
689	2853	1281
690	2857	1277
691	2860	1273
692	2864	1268
693	2868	1264
694	2872	1260
695	2875	1256
696	2879	1251
697	2883	1247
698	2887	1243
699	2891	1239
700	2894	1234
701	2898	1230
702	2902	1226
703	2906	1222
704	2909	1217
705	2913	1213
706	2917	1209
707	2921	1204
708	2924	1200
709	2928	1196
710	2932	1191
711	2936	1187
712	2940	1183
713	2943	1179
714	2947	1174
715	2951	1170
716	2955	1166
717	2959	1162
718	2962	1157
719	2966	1153
720	2970	1149
721	2974	1145
722	2977	1140
723	2981	1136
724	2986	1132
725	2989	1128
726	2993	1124
727	2996	1119
728	3000	1115
729	3004	1111
730	3008	1107
731	3011	1102
732	3016	1098
733	3020	1094
734	3023	1090
735	3027	1085
736	3032	1082
737	3036	1077
738	3039	1073
739	3043	1069
740	3048	1065
741	3053	1061
